
D:\Program Files\adb>adb shell
# top -d 1
top -d 1


处理方式：模拟cpy_to_trout拷贝数据方式，6814byte数据当作4个pkt拷贝，每个pkt tx descripter和pkt各一次拷贝，
          每300次睡眠1ms，共循环1359次，耗时2001070us, 其中睡眠时间没算在内。
(count: 1359, cost: 2001070)


User 11%, System 8%, IOW 0%, IRQ 0%
User 12 + Nice 0 + Sys 9 + Idle 85 + IOW 0 + IRQ 0 + SIRQ 0 = 106

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
 1517   0% S     8 141616K  20756K  bg app_0    android.process.media
 1533   0% S     8 156392K  21664K  bg app_6    com.android.mms
 1553   0% S     7 140044K  18876K  bg system   com.spreadtrum.android.eng
 1560   0% S     8 145044K  21704K  bg app_18   com.android.email
 1570   0% S     7 140968K  19492K  bg app_22   com.sprdroid.note:remote
 1580   0% S     7 141704K  20272K  bg app_25   com.android.providers.calendar
 1591   0% S     8 143496K  21064K  bg app_26   com.android.browser
 1602   0% S     8 140736K  18700K  bg app_27   com.android.modemassert
 1611   0% S     7 140904K  20420K  bg system   com.android.deskclock
 1619   0% S     7 140936K  20344K  bg app_35   com.android.bluetooth
 1627   0% S     8 142768K  20144K  bg app_8    com.android.quicksearchbox
 1638   0% S     7 141448K  19772K  bg app_9    com.android.music
 1653   0% S     8 142632K  20824K  bg app_5    com.cooliris.media
 1672   0% S    19 173096K  28216K  fg app_37   com.wandoujia.phoenix2
 1683   0% S     7 139716K  18716K  bg app_34   com.svox.pico
 1716   0% S     8 140892K  19992K  fg app_38   com.wandoujia.phoenix2.usbproxy
 1787   0% S     1    764K    316K  fg root     /system/bin/sh
 1806   0% S     1    764K    320K  fg root     /system/bin/sh
 1809   0% S     1      0K      0K  fg root     printLog2File_k
 1815   0% Z     1      0K      0K  fg root     dnsmasq
 1823   0% S     1    900K    276K  fg root     sleep
 1827   0% S     1    900K    276K  fg root     sleep
 1833   0% R     1    908K    324K  fg root     dd
  664   0% S     1      0K      0K  fg root     binder
    2   0% S     1      0K      0K  fg root     kthreadd
